City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mamburao,72,PH,1601903311,81,13.25,120.67,78.3,2.84
Gombong,52,ID,1601903311,83,-7.61,109.51,63.0,7.11
Matara,0,LK,1601903312,79,5.95,80.54,80.02,13.82
Santa Maria,100,BR,1601903313,89,-29.68,-53.81,65.01,8.66
Vila Franca do Campo,20,PT,1601903313,64,37.72,-25.43,73.4,9.17
Mezen',43,RU,1601903314,83,65.85,44.24,46.54,5.14
Māngrol,0,IN,1601903315,76,21.12,70.12,82.29,10.65
Tiksi,100,RU,1601903315,95,71.69,128.87,30.97,15.23
Esperance,90,AU,1601903316,81,-33.87,121.9,50.0,9.17
Aklavik,90,CA,1601903083,100,68.22,-135.01,35.6,2.24
Shakawe,89,BW,1601903317,8,-18.37,21.85,106.0,6.85
Soyo,75,AO,1601903047,70,-6.13,12.37,84.2,8.05
Paranaíba,3,BR,1601903318,12,-19.68,-51.19,99.97,12.95
Islamabad,0,PK,1601903309,32,33.71,73.13,84.99,6.93
Kuril'sk,59,RU,1601903319,75,45.23,147.88,55.11,11.39
Pangnirtung,90,CA,1601903320,89,66.15,-65.71,32.0,9.17
Boa Vista,75,BR,1601903161,62,2.82,-60.67,87.8,10.29
Bartica,20,GY,1601903321,79,6.4,-58.62,84.2,4.7
Havøysund,0,NO,1601903054,54,71.0,24.66,57.2,13.87
Arrondissement de Verdun,100,FR,1601903322,94,49.25,5.33,53.01,7.0
São Miguel do Araguaia,1,BR,1601903290,14,-13.28,-50.16,99.05,8.72
Nyuksenitsa,100,RU,1601903323,76,60.41,44.24,48.15,6.44
Rajshahi,51,BD,1601903121,78,24.37,88.6,83.23,7.23
Nagato,20,JP,1601903325,55,34.38,131.2,62.6,4.7
Şabyā,20,SA,1601903325,63,17.15,42.63,95.0,20.8
Edd,0,ER,1601903326,36,13.93,41.69,93.94,8.46
Baturaja,93,ID,1601903327,75,-4.13,104.17,79.48,2.71
Sistranda,75,NO,1601903327,72,63.73,8.83,59.0,12.75
Manzhouli,76,CN,1601903328,80,49.6,117.43,34.97,6.46
Santa Fe,98,AR,1601903328,76,-31.63,-60.7,55.99,8.01
Myitkyina,100,MM,1601903329,94,25.38,97.4,75.6,1.66
Beringovskiy,34,RU,1601903330,84,63.05,179.32,33.85,4.54
Kudahuvadhoo,58,MV,1601903330,76,2.67,72.89,82.99,14.12
Cabuyaro,17,CO,1601903331,85,4.28,-72.79,77.31,3.4
Jacareacanga,100,BR,1601903332,57,-6.22,-57.75,87.6,4.0
Kruisfontein,0,ZA,1601903332,65,-34.0,24.73,75.0,5.01
Lungi,90,SL,1601903333,74,9.22,-12.68,83.66,2.59
Bariloche,60,AR,1601903333,66,-41.15,-71.31,41.0,12.75
Malakal,78,SS,1601903336,65,9.53,31.66,84.51,1.01
Westport,90,US,1601903336,76,41.14,-73.36,57.0,12.75
Touros,75,BR,1601903337,74,-5.2,-35.46,82.4,10.29
Vilhena,0,BR,1601903130,33,-12.74,-60.15,94.3,2.77
Beipiao,0,CN,1601903339,51,41.79,120.78,47.62,2.01
Saint-Pierre,100,RE,1601903340,78,-21.34,55.48,71.6,17.22
Whitehorse,75,CA,1601903277,87,60.72,-135.05,42.8,13.87
Kaitangata,18,NZ,1601903342,56,-46.28,169.85,55.99,1.99
Jiaozuo,0,CN,1601903344,44,35.24,113.23,53.87,4.97
Anadyr,20,RU,1601903344,92,64.75,177.48,23.0,4.47
Lisala,100,CD,1601903345,93,2.15,21.52,75.69,1.63
Tura,8,IN,1601903346,93,25.52,90.22,75.7,2.82
Charter Township of Clinton,20,US,1601903346,100,42.59,-82.92,44.01,6.93
Buraidah,1,SA,1601903267,20,26.33,43.98,102.2,5.82
Sawākin,0,SD,1601903350,50,19.11,37.33,91.65,8.63
San Andrés,75,CO,1601903351,83,12.58,-81.7,82.4,8.05
Kavaratti,100,IN,1601903351,73,10.57,72.64,80.69,12.39
Fukuechō,0,JP,1601903352,52,32.69,128.84,67.96,17.78
Lamar,1,US,1601903353,93,33.67,-95.58,50.0,4.7
Bathsheba,40,BB,1601903353,70,13.22,-59.52,86.0,14.99
Iralaya,75,HN,1601903355,88,15.0,-83.23,78.8,16.04
Upata,88,VE,1601903355,77,8.01,-62.4,82.0,3.0
Mareeba,40,AU,1601903356,83,-17.0,145.43,71.6,3.36
Salima,17,MW,1601903358,17,-13.78,34.46,99.5,7.96
San Cristobal,75,VE,1601903348,83,7.77,-72.22,77.0,2.24
Nishihara,75,JP,1601903359,74,26.18,127.76,78.8,8.05
Hyvinkää,0,FI,1601903360,85,60.63,24.87,64.0,5.93
Dicabisagan,24,PH,1601903361,84,17.08,122.42,79.83,5.26
Kawalu,68,ID,1601903362,92,-7.38,108.21,70.72,2.42
Pedro II,0,BR,1601903364,30,-4.42,-41.46,89.96,10.58
Mizdah,99,LY,1601903364,9,31.45,12.98,100.02,18.81
Pastavy,91,BY,1601903365,68,55.12,26.83,65.55,12.28
Tortolì,75,IT,1601903366,53,39.93,9.66,73.4,8.05
Molina,0,CL,1601903366,65,-35.12,-71.28,46.4,5.82
Houma,1,US,1601903367,93,29.6,-90.72,63.0,8.05
Panórama,20,GR,1601903368,78,40.59,23.03,84.99,4.7
Kāzerūn,19,IR,1601903369,27,29.62,51.65,87.71,14.99
Kilindoni,0,TZ,1601903369,72,-7.91,39.67,79.75,11.3
Tulum,75,MX,1601903370,88,20.22,-87.47,78.8,10.29
Kirakira,0,SB,1601903371,81,-10.45,161.92,78.89,6.24
Constitución,0,CL,1601903372,52,-35.33,-72.42,53.11,3.89
Toktogul,24,KG,1601903372,34,41.87,72.94,58.3,1.14
Neryungri,9,RU,1601903373,95,56.67,124.65,26.29,3.91
Tezu,93,IN,1601903374,83,27.92,96.17,72.88,4.5
Tarko-Sale,100,RU,1601903374,93,64.92,77.78,39.0,1.01
Luanda,75,AO,1601903321,69,-8.84,13.23,80.6,8.05
